Frame,Rz,Ry,Rx,Tx,Ty,Tz,State
296366,-45.2262404,-46.4117629,88.3470226,-7.718,-69.722,-115.419,OK
296374,-45.2281965,-46.413358,88.3475756,-7.718,-69.721,-115.419,OK
296382,-45.2283948,-46.4132107,88.3480581,-7.718,-69.721,-115.419,OK
296390,-45.2303349,-46.4151926,88.3480548,-7.717,-69.72,-115.419,OK
296398,-45.2318255,-46.4166027,88.3482077,-7.719,-69.718,-115.418,OK
296406,-45.231519,-46.416501,88.3479164,-7.719,-69.718,-115.419,OK
296414,-45.2332637,-46.419125,88.346752,-7.721,-69.717,-115.414,OK
296422,-45.2345526,-46.4202304,88.3470412,-7.721,-69.716,-115.413,OK
296430,-45.2347042,-46.4202214,88.3472671,-7.721,-69.716,-115.416,OK
296438,-45.2366941,-46.4230492,88.3461669,-7.724,-69.713,-115.412,OK
296446,-45.238634,-46.4243465,88.3471079,-7.723,-69.713,-115.412,OK
296454,-45.2379905,-46.4234993,88.3473708,-7.722,-69.714,-115.414,OK
296462,-45.2397303,-46.4255583,88.3469791,-7.723,-69.712,-115.413,OK
296470,-45.2408955,-46.4269915,88.3466421,-7.724,-69.71,-115.412,OK
296478,-45.2404392,-46.4262811,88.3469799,-7.724,-69.711,-115.415,OK
296486,-45.2424116,-46.4285576,88.3466155,-7.725,-69.708,-115.413,OK
296494,-45.2455584,-46.4307234,88.348057,-7.725,-69.706,-115.413,OK
296502,-45.2454947,-46.4301341,88.3487804,-7.724,-69.708,-115.418,OK
296510,-45.2465381,-46.4316691,88.3481315,-7.724,-69.707,-115.414,OK
296518,-45.2484386,-46.432978,88.3490008,-7.725,-69.705,-115.416,OK
296526,-45.2477038,-46.432707,88.3483404,-7.725,-69.705,-115.415,OK
296534,-45.2488257,-46.4339379,88.3482214,-7.725,-69.704,-115.415,OK
296542,-45.248914,-46.4348236,88.3471238,-7.726,-69.705,-115.413,OK
296550,-45.2484861,-46.4345463,88.3469041,-7.724,-69.708,-115.414,OK
296558,-45.2491432,-46.4358747,88.3459964,-7.724,-69.709,-115.412,OK
296566,-45.249821,-46.4372151,88.3451014,-7.724,-69.71,-115.409,OK
296574,-45.2501332,-46.4371765,88.3455941,-7.725,-69.709,-115.414,OK
296582,-45.2503177,-46.4380784,88.3446096,-7.726,-69.709,-115.411,OK
296590,-45.2521988,-46.440272,88.3442313,-7.728,-69.707,-115.41,OK
296598,-45.2516798,-46.4394858,88.3445855,-7.725,-69.711,-115.412,OK
296606,-45.2516646,-46.440155,88.3436409,-7.727,-69.709,-115.413,OK
296614,-45.2541194,-46.4430276,88.3431334,-7.729,-69.706,-115.41,OK
296622,-45.2549042,-46.4436466,88.3433843,-7.73,-69.705,-115.411,OK
296630,-45.2561114,-46.4452771,88.3428342,-7.731,-69.704,-115.409,OK
296638,-45.2581049,-46.4472081,88.3429765,-7.732,-69.702,-115.409,OK
296646,-45.2563244,-46.4456588,88.3426075,-7.731,-69.704,-115.412,OK
296654,-45.2564423,-46.4459712,88.3423426,-7.731,-69.704,-115.412,OK
296662,-45.2589305,-46.4485617,88.3422713,-7.733,-69.7,-115.409,OK
296670,-45.2590918,-46.4482582,88.3429169,-7.732,-69.702,-115.41,OK
296678,-45.2588677,-46.4489516,88.3416452,-7.733,-69.701,-115.408,OK
296686,-45.2610646,-46.4512299,88.3415946,-7.734,-69.7,-115.407,OK
296694,-45.2609544,-46.4507464,88.3421064,-7.733,-69.701,-115.41,OK
296702,-45.2607001,-46.4502616,88.3424172,-7.731,-69.702,-115.41,OK
296710,-45.2625225,-46.4522375,88.3422566,-7.733,-69.698,-115.409,OK
296718,-45.2630007,-46.4520614,88.3431725,-7.731,-69.7,-115.409,OK
296726,-45.2624696,-46.4519667,88.3425556,-7.731,-69.701,-115.41,OK
296734,-45.2619352,-46.4518769,88.3419275,-7.73,-69.702,-115.41,OK
296742,-45.2649007,-46.4543735,88.3426575,-7.731,-69.7,-115.407,OK
296750,-45.2654141,-46.4546136,88.3430486,-7.73,-69.698,-115.408,OK
296758,-45.265922,-46.4548623,88.3434203,-7.73,-69.697,-115.41,OK
296766,-45.2682787,-46.456731,88.3441595,-7.731,-69.695,-115.409,OK
296774,-45.2676776,-46.4561307,88.3441415,-7.729,-69.696,-115.409,OK
296782,-45.2702408,-46.45929,88.3433913,-7.732,-69.693,-115.406,OK
296790,-45.2712897,-46.4601318,88.3437063,-7.731,-69.693,-115.405,OK
296798,-45.270474,-46.4600571,88.3426616,-7.731,-69.695,-115.405,OK
296806,-45.2730071,-46.4625761,88.3427522,-7.731,-69.694,-115.402,OK
296814,-45.2734979,-46.4633863,88.3423257,-7.733,-69.693,-115.402,OK
296822,-45.2727276,-46.4623668,88.3426477,-7.731,-69.695,-115.406,OK
296830,-45.2742852,-46.4645377,88.3418457,-7.733,-69.692,-115.402,OK
296838,-45.2744861,-46.4647189,88.3418784,-7.731,-69.695,-115.402,OK
296846,-45.27469,-46.4648969,88.3419199,-7.729,-69.697,-115.403,OK
296854,-45.2752507,-46.4665705,88.3404012,-7.731,-69.695,-115.397,OK
296862,-45.274942,-46.465801,88.3410277,-7.729,-69.696,-115.401,OK
296870,-45.2712009,-46.4631411,88.3394319,-7.729,-69.698,-115.406,OK
296878,-45.2701018,-46.4621929,88.3391929,-7.726,-69.703,-115.406,OK
296886,-45.2671793,-46.4602581,88.3377488,-7.728,-69.699,-115.409,OK
296894,-45.2666596,-46.4587526,88.3390935,-7.725,-69.7,-115.411,OK
296902,-45.2670416,-46.4604728,88.337259,-7.727,-69.698,-115.406,OK
296910,-45.2675387,-46.4608687,88.3374125,-7.726,-69.699,-115.407,OK
296918,-45.2663051,-46.4594947,88.3375714,-7.725,-69.699,-115.41,OK
296926,-45.2668144,-46.46068,88.3366535,-7.725,-69.699,-115.408,OK
296934,-45.2694238,-46.4624889,88.3378308,-7.725,-69.697,-115.407,OK
296942,-45.2681955,-46.4615414,88.337409,-7.723,-69.699,-115.407,OK
296950,-45.270086,-46.4635864,88.3372492,-7.722,-69.701,-115.402,OK
